Order_ID,Order_Date,Time_Orderd,Weather,Type_of_order,City,Order_Duration
0x837c,3/3/2022,21:55,Stormy,Meal,Metropolitian,28
0xcbc4,15-02-2022,12:45,Windy,Snack,Urban,19
0xc19e,18-02-2022,23:30,Fog,Buffet,Urban,42
0x1d60,1/3/2022,10:50,Fog,Drinks,Metropolitian,23
0x95fb,23-03-2022,21:25,Stormy,Meal,Metropolitian,39
0x8195,1/4/2022,10:10,Stormy,Drinks,Metropolitian,25
0xc042,16-02-2022,0.958333333,Sandstorms,Drinks,Metropolitian,15
0x6d19,11/3/2022,8:40,Cloudy,Drinks,Urban,15
0x35e6,14-03-2022,17:50,Sunny,Buffet,Metropolitian,15
0xb437,18-03-2022,20:25,Stormy,Meal,Metropolitian,15
0x97e3,1/4/2022,22:20,Sunny,Drinks,Metropolitian,18
0xa3e0,4/4/2022,23:40,Sandstorms,Drinks,Metropolitian,29
0x4161,11/3/2022,23:25,Fog,Snack,Metropolitian,20
0x1236,13-03-2022,12:40,Cloudy,Meal,Metropolitian,39
0x2558,4/3/2022,23:30,Windy,Snack,Metropolitian,19
0x3185,26-03-2022,23:55,Cloudy,Snack,Urban,19
0x3c57,16-03-2022,22:50,Windy,Meal,Metropolitian,17
0x4863,1/3/2022,10:25,Stormy,Snack,Urban,15
0x6757,15-03-2022,8:45,Sandstorms,Meal,Urban,19
0x22ad,4/3/2022,21:25,Sandstorms,Buffet,Metropolitian,29
0x9f99,18-03-2022,22:35,Cloudy,Snack,Urban,22
0x6781,23-03-2022,20:10,Fog,Drinks,Metropolitian,42
0x1b8d,15-03-2022,10:55,Sandstorms,Snack,Urban,12
0x1aea,8/3/2022,20:35,Cloudy,Snack,Metropolitian,38
0x1e42,10/3/2022,23:20,Sunny,Drinks,Metropolitian,23
0xddc8,11/2/2022,10:35,Cloudy,Meal,Metropolitian,15
0x24ac,14-03-2022,23:45,Sunny,Snack,Metropolitian,24
0x3f01,16-03-2022,19:55,Windy,Drinks,Metropolitian,37
0x628c,1/3/2022,22:15,Sandstorms,Snack,Metropolitian,24
0x6c38,1/3/2022,23:10,Sunny,Buffet,Metropolitian,13
0x4beb,30-03-2022,9:15,Cloudy,Drinks,NaN,16
0x8339,2/3/2022,18:25,Cloudy,Drinks,Urban,42
0x3ec5,20-03-2022,22:10,Sandstorms,Meal,Metropolitian,17
0xadb4,3/4/2022,20:50,Cloudy,Drinks,Metropolitian,25
0x6e2,2/4/2022,NaN,NaN,Snack,Metropolitian,25
0x2bc0,29-03-2022,18:45,Fog,Snack,Metropolitian,39
0x99e7,17-03-2022,14:55,Sunny,Meal,Metropolitian,18
0x39ef,17-03-2022,16:50,Sandstorms,Drinks,Metropolitian,28
0xe264,15-02-2022,22:20,Sandstorms,Drinks,Metropolitian,18
0xbd03,18-03-2022,1,Windy,Meal,Metropolitian,18
0x9a29,8/3/2022,21:10,Fog,Snack,Metropolitian,49
0xd0e5,17-02-2022,23:25,Sunny,Drinks,Metropolitian,15
0xa480,31-03-2022,23:30,Sunny,Drinks,Metropolitian,21
0xb46c,1/3/2022,14:20,Sunny,Snack,Metropolitian,23
0x7150,3/4/2022,10:15,Fog,Meal,Urban,11
0x1e58,24-03-2022,21:20,Cloudy,Snack,Metropolitian,25
0x4460,7/3/2022,8:50,Fog,Snack,Metropolitian,18
0x977d,9/3/2022,0.375,Cloudy,Buffet,Metropolitian,14
0x1602,12/3/2022,17:45,Windy,Drinks,Metropolitian,36
0x894e,24-03-2022,23:10,Fog,Drinks,Metropolitian,18
0x5a01,30-03-2022,16:35,Fog,Meal,Urban,17
0x655,5/3/2022,8:30,Sandstorms,Snack,Metropolitian,28
0x20f6,18-03-2022,20:35,Fog,Buffet,Metropolitian,44
0x3db1,13-03-2022,23:25,Windy,Snack,Metropolitian,20
0x1ec7,9/3/2022,NaN,Stormy,Snack,NaN,19
0x8ed2,31-03-2022,19:55,Fog,Snack,Metropolitian,35
0x64cc,23-03-2022,21:20,Sandstorms,Meal,Metropolitian,50
0x2ed0,24-03-2022,21:45,Stormy,Meal,Metropolitian,34
0x4008,12/3/2022,19:40,Sunny,Meal,Metropolitian,17
0x7553,3/3/2022,14:50,Sandstorms,Snack,Urban,23
0x35d8,9/3/2022,18:10,Fog,Buffet,Metropolitian,27
0x9832,17-03-2022,12:20,Cloudy,Snack,Urban,26
0x4c88,18-03-2022,23:40,Cloudy,Buffet,Metropolitian,35
0x9693,19-03-2022,12:50,Windy,Drinks,Urban,41
0x81a5,7/3/2022,23:20,Sandstorms,Buffet,NaN,23
0xae56,4/3/2022,17:50,Stormy,Snack,Metropolitian,30
0x8d18,3/4/2022,10:25,Windy,Buffet,Metropolitian,19
0x9cba,11/3/2022,9:10,Windy,Buffet,Metropolitian,27
0x9b79,1/4/2022,12:30,Cloudy,Snack,Metropolitian,28
0x596a,20-03-2022,17:10,Sandstorms,Drinks,Metropolitian,24
0x78aa,31-03-2022,19:15,Cloudy,Meal,Urban,36
0xd7ec,13-02-2022,23:50,Sandstorms,Buffet,Metropolitian,28
0x55b1,29-03-2022,18:45,Fog,Drinks,Urban,31
0x87e4,16-03-2022,20:40,Sunny,Meal,Metropolitian,44
0x82c3,14-03-2022,22:10,Windy,Drinks,Metropolitian,15
0x5397,31-03-2022,17:20,Windy,Buffet,Metropolitian,33
0x876b,17-03-2022,19:55,Fog,Buffet,Metropolitian,30
0x3a5a,28-03-2022,18:15,Stormy,Snack,Metropolitian,22
0x51e4,4/4/2022,23:50,Fog,Snack,Metropolitian,43
0x5631,4/3/2022,17:25,Fog,Meal,Metropolitian,48
0x1dac,4/3/2022,23:45,Stormy,Drinks,Metropolitian,19
0xde01,14-02-2022,18:30,Windy,Snack,Urban,21
0x8771,25-03-2022,21:35,Windy,Drinks,Metropolitian,44
0x3645,17-03-2022,8:40,Windy,Drinks,Metropolitian,26
0x1ff1,1/4/2022,22:35,Windy,Buffet,Metropolitian,26
0x4a3c,19-03-2022,11:45,Windy,Meal,Metropolitian,31
0x6e0d,7/3/2022,23:25,Stormy,Meal,Urban,19
0x6cc6,2/3/2022,19:10,Sunny,Snack,Metropolitian,18
0xc141,16-02-2022,18:45,Fog,Meal,Metropolitian,38
0x690f,29-03-2022,18:15,Cloudy,Snack,Metropolitian,32
0xb4ba,7/3/2022,22:30,Sandstorms,Meal,Metropolitian,17
0x63a9,3/3/2022,0.791666667,Fog,Buffet,Urban,11
0x88dd,30-03-2022,13:10,Windy,Buffet,Metropolitian,31
0x1b58,12/3/2022,NaN,Sandstorms,Drinks,Metropolitian,43
0x87a8,19-03-2022,17:55,Windy,Meal,Metropolitian,25
0x3f8d,15-03-2022,19:50,Cloudy,Snack,Metropolitian,22
0x290c,2/3/2022,21:15,Fog,Drinks,Metropolitian,43
0x7ece,31-03-2022,19:35,Fog,Buffet,Metropolitian,42
0x1365,6/3/2022,19:10,Stormy,Meal,Metropolitian,42
0x33a4,21-03-2022,21:20,Fog,Drinks,Metropolitian,34
0x8f3c,1/3/2022,9:50,Sandstorms,Snack,Metropolitian,17
0x2fe1,24-03-2022,20:35,Stormy,Snack,Metropolitian,25
0x4b5b,4/4/2022,21:15,Sandstorms,Meal,Semi-Urban,54
0x7405,2/3/2022,0.958333333,Windy,Buffet,Metropolitian,21
0x6245,1/4/2022,0.625,Cloudy,Buffet,Metropolitian,34
0xd02b,12/2/2022,19:45,Fog,Meal,Metropolitian,36
0x1f0e,5/4/2022,17:45,Sunny,Drinks,Metropolitian,17
0x7085,3/3/2022,0.375,Sunny,Meal,Metropolitian,16
0x57fa,6/4/2022,0.833333333,Sunny,Meal,Metropolitian,27
0x57fc,17-03-2022,12:50,Fog,Meal,Metropolitian,26
0x7a1f,31-03-2022,21:40,Fog,Snack,Metropolitian,46
0xceac,17-02-2022,19:55,Sunny,Buffet,Metropolitian,29
0xa0a5,9/3/2022,19:35,Sandstorms,Snack,Metropolitian,23
0x892d,27-03-2022,22:35,Sandstorms,Snack,Urban,11
0x6118,25-03-2022,17:10,Stormy,Snack,Metropolitian,28
0x46fd,11/3/2022,19:35,Cloudy,Meal,Metropolitian,25
0x5134,3/3/2022,10:30,Sandstorms,Snack,Metropolitian,11
0xd418,15-02-2022,18:10,Windy,Meal,Metropolitian,26
0x256c,7/3/2022,10:10,Stormy,Meal,Metropolitian,23
0x6055,18-03-2022,17:50,Fog,Snack,Metropolitian,39
0x7bfb,3/4/2022,8:50,Fog,Snack,NaN,11
0x7220,6/4/2022,19:55,Stormy,Drinks,Metropolitian,32
0x1568,6/3/2022,17:55,Fog,Snack,Metropolitian,43
0x41ea,19-03-2022,15:30,Fog,Buffet,Metropolitian,13
0x1c60,21-03-2022,9:40,Windy,Buffet,Metropolitian,25
0x7944,19-03-2022,18:20,Windy,Drinks,Metropolitian,27
0x77ee,28-03-2022,15:35,Windy,Drinks,Metropolitian,29
0x2192,29-03-2022,18:15,Sandstorms,Buffet,Metropolitian,33
0x48c7,17-03-2022,16:55,Fog,Drinks,Urban,19
0x78bf,29-03-2022,18:10,Sunny,Meal,Metropolitian,33
0x7a5a,21-03-2022,19:15,Fog,Snack,Metropolitian,28
0x4321,4/3/2022,18:25,Windy,Drinks,NaN,15
0xe00d,15-02-2022,20:30,Stormy,Meal,Metropolitian,29
0x1e86,29-03-2022,22:55,Stormy,Meal,Metropolitian,18
0xcff0,13-02-2022,10:55,Stormy,Meal,Metropolitian,14
0x1e2d,3/4/2022,0.666666667,Windy,Snack,Metropolitian,30
0xd072,13-02-2022,14:50,Sunny,Snack,Metropolitian,28
0x9a57,16-03-2022,20:20,Fog,Snack,Metropolitian,39
0x427b,2/4/2022,0.791666667,Cloudy,Meal,Metropolitian,30
0x52e2,20-03-2022,18:15,Sandstorms,Buffet,Metropolitian,36
0x9395,29-03-2022,23:35,Fog,Snack,Metropolitian,37
0xb5d2,4/3/2022,19:35,Cloudy,Meal,Metropolitian,43
0x6c4d,27-03-2022,23:35,Sunny,Buffet,NaN,29
0xd1c8,11/2/2022,0.75,Stormy,Drinks,Metropolitian,25
0x98ca,9/3/2022,18:10,Fog,Buffet,Urban,15
0x1b5b,2/3/2022,NaN,Sandstorms,Snack,Metropolitian,24
0x644b,12/3/2022,21:10,Windy,Snack,Metropolitian,39
0x7a2d,4/4/2022,23:40,Windy,Buffet,Metropolitian,20
0xe13f,11/2/2022,0.458333333,Fog,Buffet,Metropolitian,15
0xc278,18-02-2022,22:45,Sandstorms,Drinks,Metropolitian,16
0x5912,19-03-2022,0.458333333,Sunny,Drinks,Metropolitian,19
0xab33,2/3/2022,23:25,Fog,Drinks,Metropolitian,20
0xdd96,14-02-2022,0.875,Sunny,Meal,Metropolitian,25
0x7646,27-03-2022,19:30,Cloudy,Snack,Metropolitian,43
0x5ef5,4/3/2022,22:55,Windy,Drinks,Urban,15
0x7ef7,6/4/2022,20:25,Sunny,Buffet,Urban,29
0x1136,26-03-2022,12:35,Stormy,Drinks,Metropolitian,14
0xd032,11/2/2022,18:55,Sunny,Buffet,Metropolitian,11
0x199d,28-03-2022,22:45,Sandstorms,Buffet,Metropolitian,19
0x871c,18-03-2022,23:45,Windy,Drinks,Metropolitian,29
0xcf18,11/2/2022,15:25,Cloudy,Buffet,Urban,11
0x1dad,28-03-2022,11:30,Sunny,Snack,Metropolitian,14
0xc918,16-02-2022,22:35,Windy,Snack,Urban,15
0x33c1,16-03-2022,23:35,Sandstorms,Meal,Metropolitian,16
0x1b50,8/3/2022,NaN,NaN,Buffet,Urban,43
0x27fe,28-03-2022,10:25,Stormy,Buffet,Metropolitian,20
0x1536,3/3/2022,22:20,Stormy,Drinks,Metropolitian,26
0xa152,13-03-2022,17:15,Windy,Snack,Metropolitian,26
0x9c9a,14-03-2022,21:30,Windy,Meal,Urban,43
0x3052,1/3/2022,18:40,Sandstorms,Snack,Urban,25
0x1045,21-03-2022,15:10,Fog,Buffet,Metropolitian,28
0x2391,10/3/2022,22:50,Stormy,Buffet,Metropolitian,17
0x7ddd,20-03-2022,19:30,Windy,Drinks,Metropolitian,44
0x279f,6/4/2022,20:30,Stormy,Buffet,Metropolitian,33
0xe76,15-03-2022,18:35,Cloudy,Snack,Urban,19
0xaefa,3/4/2022,18:45,Sunny,Snack,Metropolitian,15
0xdad6,12/2/2022,23:10,Fog,Buffet,Metropolitian,27
0xc237,11/2/2022,11:10,Cloudy,Meal,Metropolitian,25
0x4efc,5/4/2022,13:50,Sunny,Drinks,Metropolitian,18
0x6e33,5/4/2022,18:40,Stormy,Snack,Metropolitian,21
0xd92f,18-02-2022,21:15,Cloudy,Buffet,Metropolitian,53
0xd902,12/2/2022,21:45,Sandstorms,Drinks,Metropolitian,42
0xd91a,14-02-2022,21:20,Sunny,Snack,Metropolitian,20
0x4f0c,2/3/2022,22:45,Fog,Meal,Metropolitian,29
0x8456,4/4/2022,20:10,Stormy,Snack,Urban,15
0x3329,9/3/2022,18:20,Fog,Buffet,Metropolitian,30
0x1aa8,12/3/2022,20:40,Windy,Snack,Metropolitian,28
0x144d,1/4/2022,0.416666667,Stormy,Drinks,NaN,19
0xd27b,18-02-2022,22:30,Sandstorms,Meal,Metropolitian,15
0xadd6,23-03-2022,21:50,Sandstorms,Buffet,Urban,50
0x7c60,5/3/2022,11:50,Stormy,Buffet,Metropolitian,41
0x4fb8,27-03-2022,17:25,Fog,Snack,Metropolitian,37
0x1406,19-03-2022,21:55,Cloudy,Drinks,Metropolitian,28
0xc63e,16-02-2022,18:40,Cloudy,Meal,Metropolitian,35
0x7b03,2/3/2022,20:25,Windy,Buffet,Metropolitian,27
0x4314,2/3/2022,21:45,Fog,Buffet,Metropolitian,43
0x9e5a,5/4/2022,22:20,Fog,Meal,NaN,12
0xc044,13-02-2022,20:55,Sandstorms,Meal,Metropolitian,31
0xd7d3,14-02-2022,21:35,Cloudy,Drinks,Metropolitian,39
0x70b1,20-03-2022,21:15,Stormy,Buffet,Urban,47
0x59e5,11/3/2022,23:30,Fog,Buffet,Urban,26
0xdeac,18-02-2022,17:15,Cloudy,Snack,Metropolitian,31
0xa053,4/4/2022,20:45,Sandstorms,Snack,Metropolitian,42
0x4db,5/3/2022,NaN,Stormy,Meal,Urban,12
0x7031,9/3/2022,13:30,Cloudy,Snack,Metropolitian,25
0xd3bc,18-02-2022,0.916666667,Sandstorms,Drinks,Metropolitian,39
0x8de9,20-03-2022,23:20,Fog,Buffet,NaN,21
0x7c84,26-03-2022,18:35,Fog,Meal,Metropolitian,18
0x96d2,29-03-2022,20:40,Sandstorms,Snack,Urban,22
0x77b5,1/3/2022,8:25,Fog,Buffet,Metropolitian,23
0x75dc,18-03-2022,17:45,Stormy,Drinks,Metropolitian,48
0xbe78,31-03-2022,22:25,Windy,Snack,Urban,13
0x35a2,30-03-2022,11:30,Sandstorms,Drinks,Metropolitian,32
0x416f,6/3/2022,21:45,Sandstorms,Snack,Urban,16
0xa4f5,5/3/2022,17:25,Cloudy,Snack,Urban,19
0xa4eb,26-03-2022,9:40,Sunny,Drinks,Metropolitian,18
0xd4da,16-02-2022,20:55,Windy,Buffet,Metropolitian,27
0xb59b,12/3/2022,17:10,Sunny,Drinks,Urban,25
0x4f73,1/3/2022,18:25,Stormy,Drinks,Metropolitian,31
0x6a7,4/4/2022,NaN,Fog,Drinks,Metropolitian,39
0xadae,16-03-2022,17:55,Sunny,Snack,Metropolitian,20
0xb785,29-03-2022,19:55,Windy,Snack,Metropolitian,38
0x8366,5/3/2022,0.958333333,Windy,Buffet,Metropolitian,19
0xbff2,17-02-2022,21:15,Sunny,Drinks,Metropolitian,17
0x8f58,13-03-2022,10:40,Cloudy,Buffet,Urban,24
0x247c,13-03-2022,11:20,Fog,Drinks,Urban,26
0x43b9,3/4/2022,0.75,Sandstorms,Meal,Metropolitian,28
0x9e8a,23-03-2022,17:10,Sandstorms,Snack,Urban,16
0x47af,1/3/2022,18:25,Fog,Buffet,Urban,17
0x1b40,13-03-2022,23:10,Windy,Snack,Urban,24
0xb4fb,29-03-2022,17:15,Windy,Meal,Metropolitian,24
0xb50,15-03-2022,11:55,Stormy,Meal,Metropolitian,34
0x3376,9/3/2022,9:30,Cloudy,Snack,Urban,16
0xbecb,5/4/2022,22:40,Windy,Drinks,Metropolitian,26
0x4357,2/4/2022,17:10,Fog,Drinks,Metropolitian,25
0x1486,10/3/2022,17:10,Fog,Meal,Metropolitian,49
0x5b70,23-03-2022,18:30,Windy,Snack,Urban,24
0x490e,13-03-2022,11:50,Sandstorms,Meal,Metropolitian,32
0x3e21,7/3/2022,0.791666667,Sunny,Buffet,Metropolitian,26
0x26d4,18-03-2022,23:55,Sandstorms,Buffet,Metropolitian,24
0xb20f,31-03-2022,19:45,Stormy,Drinks,Metropolitian,16
0x7ada,4/4/2022,20:30,Windy,Drinks,Metropolitian,27
0xc4b3,17-02-2022,11:10,Fog,Drinks,Metropolitian,25
0x2a01,26-03-2022,0.375,Cloudy,Drinks,Metropolitian,26
0x6357,28-03-2022,19:30,Sandstorms,Buffet,Urban,25
0x73c,5/3/2022,NaN,Fog,Meal,Metropolitian,26
0x9c2a,15-03-2022,8:20,Fog,Meal,Urban,15
0x31bd,17-03-2022,0.458333333,Sunny,Buffet,Urban,18
0x970a,9/3/2022,20:30,Fog,Buffet,Metropolitian,30
0x2675,2/4/2022,19:45,Cloudy,Drinks,Metropolitian,46
0xa200,29-03-2022,22:25,Windy,Drinks,Metropolitian,24
0x9bf9,5/3/2022,0.666666667,Sandstorms,Drinks,Metropolitian,37
0x555d,29-03-2022,21:30,Windy,Snack,Metropolitian,27
0x5bd9,5/3/2022,15:25,Windy,Buffet,NaN,27
0xb2e9,5/3/2022,17:25,Windy,Meal,Metropolitian,32
0x8633,13-03-2022,11:45,Stormy,Buffet,Urban,28
0x4c34,3/3/2022,20:15,Sandstorms,Drinks,Metropolitian,29
0xa998,3/3/2022,10:25,Sandstorms,Snack,Metropolitian,27
0x5efd,24-03-2022,8:25,Cloudy,Snack,Metropolitian,11
0x8d83,15-03-2022,17:15,Cloudy,Buffet,Urban,13
0x8a06,12/3/2022,22:45,Windy,Buffet,Metropolitian,27
0x5a2d,13-03-2022,12:35,Windy,Snack,Metropolitian,25
0x4c1,2/3/2022,NaN,NaN,Drinks,Metropolitian,26
0x83ea,5/4/2022,12:20,Cloudy,Buffet,Metropolitian,27
0x2185,2/3/2022,22:55,Sunny,Snack,Metropolitian,26
0x12e7,8/3/2022,17:25,Windy,Meal,Metropolitian,32
0x5956,21-03-2022,10:35,Windy,Meal,Metropolitian,25
0x7814,24-03-2022,21:45,Stormy,Meal,Metropolitian,32
0xcee,20-03-2022,NaN,Sunny,Drinks,Metropolitian,42
0x5a07,11/3/2022,19:50,Sunny,Drinks,Metropolitian,29
0x340f,10/3/2022,19:30,Cloudy,Buffet,Metropolitian,32
0x8094,12/3/2022,23:45,Cloudy,Drinks,Metropolitian,35
0x3241,19-03-2022,14:50,Sunny,Drinks,Metropolitian,27
0xde16,15-02-2022,8:10,Sunny,Meal,Metropolitian,15
0xa176,9/3/2022,21:55,Cloudy,Buffet,Urban,27
0xc8c7,13-02-2022,17:10,Stormy,Meal,Metropolitian,30
0xaa97,27-03-2022,18:40,Sunny,Snack,Metropolitian,32
0xa64c,21-03-2022,10:15,Stormy,Meal,Metropolitian,25
0x7df5,15-03-2022,17:45,Windy,Buffet,Metropolitian,38
0x869e,26-03-2022,0.875,Fog,Meal,Metropolitian,26
0x7725,25-03-2022,20:30,Stormy,Meal,Metropolitian,31
0xb6d2,1/3/2022,11:40,Stormy,Drinks,Metropolitian,28
0x6edb,10/3/2022,18:40,Stormy,Meal,Metropolitian,31
0xaab4,27-03-2022,23:15,Cloudy,Buffet,Metropolitian,29
0xaabd,11/3/2022,23:35,Windy,Buffet,Urban,17
0xc873,14-02-2022,17:45,Windy,Drinks,Metropolitian,45
0x1494,29-03-2022,0.791666667,Sandstorms,Meal,Metropolitian,34
0x1875,20-03-2022,19:35,Windy,Drinks,Metropolitian,24
0x2af5,28-03-2022,21:40,Sandstorms,Meal,Metropolitian,44
0x97b6,1/4/2022,20:50,Cloudy,Snack,Metropolitian,36
0xa56e,3/4/2022,20:30,Sunny,Meal,Metropolitian,28
0xaa3f,6/3/2022,18:35,Windy,Drinks,Metropolitian,37
0x6226,3/4/2022,0.75,Fog,Snack,Urban,10
0x996b,10/3/2022,23:15,Stormy,Drinks,Urban,23
0xc595,18-02-2022,23:40,Sandstorms,Meal,Metropolitian,22
0x6bfb,17-03-2022,12:45,Stormy,Snack,Metropolitian,26
0x7e1f,13-03-2022,20:15,Sandstorms,Drinks,Metropolitian,34
0xb20d,17-03-2022,15:55,Sandstorms,Buffet,Metropolitian,26
0xa11b,16-03-2022,23:10,Fog,Snack,Metropolitian,21
0x1db4,21-03-2022,22:50,Stormy,Meal,Metropolitian,28
0x2258,9/3/2022,22:45,Windy,Snack,Metropolitian,14
0x1fd6,3/3/2022,15:10,Cloudy,Meal,Metropolitian,17
0x6de1,1/4/2022,18:30,Sandstorms,Drinks,Metropolitian,37
0x8b39,6/4/2022,22:35,Sunny,Drinks,Metropolitian,42
0x8f8,10/3/2022,NaN,Sunny,Snack,Urban,17
0x997b,2/4/2022,17:20,Cloudy,Meal,Metropolitian,34
0xcdb6,14-02-2022,18:35,Windy,Buffet,Metropolitian,25
0x5a7a,4/3/2022,19:20,Windy,Buffet,Urban,30
0x6de3,20-03-2022,19:10,Fog,Meal,Metropolitian,48
0xe27a,12/2/2022,23:55,Stormy,Drinks,Metropolitian,18
0xab52,27-03-2022,23:10,Stormy,Drinks,Metropolitian,28
0x4632,10/3/2022,17:45,Stormy,Buffet,Urban,26
0x4b8a,6/3/2022,21:55,Sunny,Drinks,Urban,16
0x1623,7/3/2022,20:50,Cloudy,Meal,Metropolitian,25
0xaa66,4/4/2022,20:35,Sunny,Drinks,Metropolitian,22
0x7ea,3/4/2022,22:25,Windy,Drinks,Metropolitian,15
0x4dfa,13-03-2022,9:45,Sandstorms,Snack,Urban,28
0xa667,28-03-2022,10:20,Windy,Meal,Urban,20
0x6e9d,15-03-2022,13:30,Stormy,Buffet,Metropolitian,32
0x5807,4/4/2022,20:10,Sandstorms,Meal,Urban,17
0x9a32,28-03-2022,12:15,Cloudy,Drinks,Metropolitian,38
0x917d,1/3/2022,8:45,Cloudy,Snack,Metropolitian,14
